name,padj,protein_atlas,keep,go_bladder_disease,go_urinary_bladder_cancer,go_bladder_carcinoma,go_count,go_condensed,scRNA_normal_class,scRNA_cancer_class,scRNA_cancer_conf_level,scRNA_normal_conf_level,degree.x,hub_score,betweenness.x,closeness.x,eigenvector.x,community,module,in_signature_module,expression,go_bladder_score,classification_agreement,combined_confidence,protein_atlas_category,keep_numeric
NRAS,1e-11,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Medium,Low,246,0.490272305317621,168.142169663625,0.00207900207900208,0.49027230531762,2,2,TRUE,-0.691782592461225,0,Inconsistent,Low_Medium,Urothelial,0
PDGFRB,2.5e-34,non_urothelial,no,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,238,0.499720007268134,158.725535429065,0.00206185567010309,0.499720007268133,2,2,TRUE,0.530738322875829,0,Consistent,Medium_Medium,Non-urothelial,0
PGR,1.2e-09,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,High,High,134,0.32252550484918,35.4868116615729,0.00186219739292365,0.32252550484918,3,4,FALSE,0.862328591277334,0,Consistent,High_High,Urothelial,0
PIK3CD,2.6e-26,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,High,High,168,0.334730236484371,66.1792854191966,0.00192307692307692,0.334730236484371,2,2,TRUE,0.220135120045967,0,Consistent,High_High,Urothelial,0
PIK3CG,7.5e-23,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,High,High,108,0.241978727694488,16.5106281483543,0.00181818181818182,0.241978727694487,2,2,TRUE,0.109593703352577,0,Consistent,High_High,Urothelial,0
PIK3R2,5.9e-27,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,High,204,0.402425804888328,106.285519691178,0.00199203187250996,0.402425804888327,2,2,TRUE,-0.1049497285356,0,Consistent,High_Medium,Urothelial,0
PLEK,8.4e-44,non_urothelial,no,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,86,0.195263258846456,14.1779553713723,0.0017825311942959,0.195263258846456,2,3,TRUE,0.25966715186211,0,Consistent,Medium_Medium,Non-urothelial,0
POU5F1,8.5e-20,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,132,0.282792641805995,34.3651616133742,0.00185873605947955,0.282792641805995,4,5,FALSE,0.302812800341451,0,Consistent,Medium_Medium,Urothelial,0
PPARG,2.2e-76,uro_cells,yes,no,yes,no,1,yes,uro_cells,uro_cells,High,Medium,202,0.441719063839677,98.4959444781784,0.00198807157057654,0.441719063839677,3,4,FALSE,0.330546506958953,2,Consistent,Medium_High,Urothelial,0
PPP2CA,1.8e-10,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,Medium,Medium,122,0.256249073524961,38.2638026628753,0.00184162062615101,0.256249073524961,3,3,TRUE,-0.238352050444478,0,Consistent,Medium_Medium,Urothelial,0
PPP2R1A,1.2e-09,bladder_related,yes,no,no,no,0,no,uro_cells,uro_cells,High,Low,120,0.254404499550148,35.8617406237836,0.00183823529411765,0.254404499550148,3,3,TRUE,0.427427855861086,0,Consistent,Low_High,Other,0
PRKCZ,1.6e-35,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Low,Medium,134,0.293425437591653,40.9829023922998,0.00186219739292365,0.293425437591652,2,2,TRUE,-0.291129743462562,0,Consistent,Medium_Low,Urothelial,0
PRLR,3.5e-29,ambiguous,review,no,no,no,0,no,non_urothelial,non_urothelial,High,High,76,0.160015929349743,9.29774295981981,0.00176678445229682,0.160015929349743,1,1,FALSE,0.325588741472826,0,Consistent,High_High,Ambiguous,2
PTGS2,1.1e-08,uro_cells,yes,yes,yes,yes,3,yes,uro_cells,non_urothelial,Low,High,182,0.437474109141124,47.5089305228614,0.00194931773879142,0.437474109141124,1,1,FALSE,-0.394951137332087,4,Inconsistent,High_Low,Urothelial,0
PTK2,2.2e-21,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Medium,Low,212,0.466988552066109,109.800843608045,0.00200803212851406,0.466988552066109,2,3,TRUE,0.258762152724426,0,Inconsistent,Low_Medium,Urothelial,0
PTK2B,4.4e-20,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Low,Medium,116,0.249487994303504,27.1718262475732,0.00183150183150183,0.249487994303504,2,3,TRUE,-0.269578170280333,0,Consistent,Medium_Low,Urothelial,0
PTPRC,4.6e-23,non_urothelial,no,no,no,no,0,no,non_urothelial,non_urothelial,High,Medium,246,0.524352859261367,159.254106728631,0.00207900207900208,0.524352859261366,1,1,FALSE,0.26474572879059,0,Consistent,Medium_High,Non-urothelial,0
PXN,1.5e-30,uro_cells,yes,no,no,no,0,no,non_urothelial,uro_cells,Medium,Low,186,0.403492396198344,81.8505975557442,0.00195694716242661,0.403492396198344,2,3,TRUE,0.150687266282127,0,Inconsistent,Low_Medium,Urothelial,0
RAC2,3.2e-18,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,Medium,116,0.230454484675487,32.0992466144156,0.00183150183150183,0.230454484675487,2,3,TRUE,0.104122148784173,0,Consistent,Medium_Medium,Urothelial,0
RB1,2.5e-24,uro_cells,yes,no,yes,no,1,yes,non_urothelial,uro_cells,Low,Low,106,0.242777526855065,12.4520830715301,0.00181488203266788,0.242777526855065,3,4,FALSE,0.274308400243066,2,Inconsistent,Low_Low,Urothelial,0
RPS27A,4.2e-14,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,High,High,196,0.377234121746249,131.322718310058,0.00197628458498024,0.37723412174625,3,2,TRUE,0.052667860121271,0,Consistent,High_High,Urothelial,0
SERPINE1,8.6e-06,uro_cells,yes,no,yes,no,1,yes,non_urothelial,non_urothelial,Low,Low,98,0.235943873402801,9.98754880508986,0.0018018018018018,0.2359438734028,4,5,FALSE,-0.454959112124494,2,Consistent,Low_Low,Urothelial,0
SHH,1.3e-38,ligand,review,no,no,no,0,no,non_urothelial,non_urothelial,High,Low,136,0.294652046596999,35.7153809250507,0.00186567164179104,0.294652046596998,4,5,FALSE,0.201955431853799,0,Consistent,Low_High,Other,2
SMAD3,3.9e-53,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,Low,Medium,190,0.407916902816825,87.473700757095,0.00196463654223969,0.407916902816825,3,4,FALSE,-0.261042016202688,0,Consistent,Medium_Low,Urothelial,0
SNAI1,2.3e-26,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Medium,High,150,0.34777033938634,38.0221913362665,0.00189035916824197,0.34777033938634,4,5,FALSE,0.184544865910288,0,Consistent,High_Medium,Urothelial,0
SNAI2,2.6e-53,uro_cells,yes,no,yes,yes,2,yes,non_urothelial,non_urothelial,Medium,Low,114,0.270039623088922,16.6220916968245,0.00182815356489945,0.270039623088922,4,5,FALSE,-0.203257711048471,3,Consistent,Low_Medium,Urothelial,0
SNCA,2.7e-16,bladder_related,yes,no,no,no,0,no,non_urothelial,non_urothelial,High,Medium,90,0.19736983499541,18.8894262104935,0.00178890876565295,0.19736983499541,3,3,TRUE,0.227960047303332,0,Consistent,Medium_High,Other,0
SOCS1,2.3e-26,uro_cells,yes,no,yes,no,1,yes,non_urothelial,uro_cells,Medium,Low,136,0.304068668021173,35.3895443850812,0.00186567164179104,0.304068668021172,1,1,FALSE,-0.0606662810811321,2,Inconsistent,Low_Medium,Urothelial,0
SOCS3,7.7e-50,uro_cells,yes,no,no,no,0,no,uro_cells,uro_cells,Medium,Low,168,0.378055512333589,53.5407097874686,0.00192307692307692,0.378055512333588,1,1,FALSE,-0.0347292725557058,0,Consistent,Low_Medium,Urothelial,0
SOX9,4.4e-35,uro_cells,yes,no,no,no,0,no,non_urothelial,non_urothelial,Low,Low,132,0.283255374828442,35.9745886288363,0.00185873605947955,0.283255374828442,4,5,FALSE,-0.292754174738343,0,Consistent,Low_Low,Urothelial,0
