"node_id","node_label","expression","degree","is_signature","betweenness","closeness","eigenvector","hub_score","authority_score","community","mean_expr_UroB","mean_expr_GU","mean_expr_UroA","mean_expr_BaSq","mean_expr_UroC","go_pval","go_padj","go_description","go_hub_score","go_rank","module","in_signature_module","random_walk_score"
"NRAS","NRAS",-0.691782592461225,246,FALSE,168.142169663625,0.00207900207900208,0.49027230531762,0.490272305317621,0.49027230531762,2,-0.403541397889614,0.499721339455956,-0.101797589040037,0.485716299297238,-0.691782592461225,3.4394223664973e-14,1.02838728758269e-11,"Not annotated",0.490272305317621,106,2,TRUE,0.00531222804639619
"NTRK1","NTRK1",-0.0231903034315076,204,FALSE,110.726299529269,0.00199203187250996,0.428201395511024,0.428201395511024,0.428201395511024,2,-0.241481419738747,0.0190226432399066,-0.293273881818354,0.131308766244399,-0.0231903034315076,,,,,,,,
"NTRK2","NTRK2",0.160814955347058,140,FALSE,46.81439920271,0.00187265917602996,0.30096616968114,0.30096616968114,0.300966169681139,2,-0.0243988864592962,-0.288034693398379,-0.377618499745736,0.329001524179948,0.160814955347058,,,,,,,,
"PAK1","PAK1",-0.321736339184194,84,FALSE,10.0778198913529,0.00177935943060498,0.196048814855564,0.196048814855564,0.196048814855564,2,0.503898789366722,-0.447924903563298,0.106388725941302,0.208994372385985,-0.321736339184194,,,,,,,,
"PARP1","PARP1",0.336818977551591,114,FALSE,21.7153123858844,0.00182815356489945,0.249520781743908,0.249520781743908,0.249520781743908,3,-0.0251976023845777,0.0505716749632159,-0.0522866972288116,-0.452677168327349,0.336818977551591,,,,,,,,
"PDGFA","PDGFA",-0.149838180527254,120,FALSE,31.5672326137372,0.00183823529411765,0.260422864953661,0.260422864953661,0.26042286495366,2,-0.158142624078893,-0.257812738241085,-0.17352303050988,0.506420905576744,-0.149838180527254,,,,,,,,
"PDGFB","PDGFB",0.208444692746735,170,FALSE,75.4545176441978,0.00192678227360308,0.359608418685323,0.359608418685323,0.359608418685323,2,-0.34812666894751,0.363847350237459,-0.489303054314067,0.119447059932229,0.208444692746735,,,,,,,,
"PDGFRA","PDGFRA",0.570823684863326,212,FALSE,152.257349005121,0.00200803212851406,0.426531322567973,0.426531322567973,0.426531322567972,2,-0.187336602713532,-0.218180245568677,-0.412803038532914,0.214717873878087,0.570823684863326,,,,,,,,
"PDGFRB","PDGFRB",0.530738322875829,238,FALSE,158.725535429065,0.00206185567010309,0.499720007268134,0.499720007268134,0.499720007268134,2,-0.328533887686443,0.0514536310053001,-0.637961776255636,0.55911095555204,0.530738322875829,8.47404263781991e-37,2.53373874870815e-34,"Not annotated",0.499720007268134,25,2,TRUE,0.0031883894826431
"PECAM1","PECAM1",0.142849711107151,216,FALSE,117.071958084744,0.00201612903225806,0.458949755373114,0.458949755373115,0.458949755373113,4,-0.0469328377326534,-0.00827108423428486,-0.58499841740953,0.393126768214434,0.142849711107151,,,,,,,,
